row,col,Trial,Location,Year,Experiment,rep,geno,yield
1,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g001,1.22
2,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g002,2.02
3,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g003,1.49
4,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g004,1.499
5,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g005,1.903
6,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g006,3.066
7,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g007,1.782
8,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g008,0.982
9,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g009,2.04
10,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g010,1.659
11,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g011,2.281
12,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g012,2.231
13,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g013,3.442
14,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g014,2.804
15,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g015,3.029
16,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g016,3.103
17,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g017,4.035
18,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g018,2.58
19,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g019,2.934
20,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g020,3.123
21,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g021,1.484
22,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g022,2.033
24,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g023,3.393
25,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g024,2.02
26,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,g025,2.692
23,1,CM08,Coomalbidgup,2008,Coomalbidgup_CM08_2008,1,empty,NA
